step,INFO-RACE-012-010-disinformed_num,INFO-RACE-012-010-disinformed_coverage,INFO-RACE-012-010-uninformed_num,INFO-RACE-012-010-uninformed_coverage,INFO-RACE-012-010-informed_num,INFO-RACE-012-010-informed_coverage
1,18.04,0.0017998200179982,9958.29,0.9963003699630038,24.67,0.0018998100189981002
2,54.29,0.0046995300469953,9867.48,0.9883011698830118,79.23,0.006999300069993001
3,119.99,0.012198780121987801,9694.42,0.9721027897210279,186.59,0.0156984301569843
4,223.74,0.024197580241975804,9419.29,0.9422057794220577,357.97,0.033596640335966405
5,370.26,0.03949605039496051,9036.64,0.9046095390460954,594.1,0.055894410558944105
6,548.32,0.0570942905709429,8564.02,0.8560143985601439,888.66,0.08689131086891311
7,753.62,0.0780921907809219,8026.76,0.7989201079892011,1220.62,0.12298770122987701
8,976.84,0.100989901009899,7450.53,0.7389261073892611,1573.63,0.16008399160083991
9,1205.53,0.12238776122387761,6863.54,0.6835316468353164,1931.93,0.19408059194080593
10,1433.23,0.14478552144785523,6281.41,0.6244375562443756,2286.36,0.23077692230776922
11,1657.0,0.16668333166683333,5721.47,0.5671432856714329,2622.53,0.26617338266173385
12,1863.97,0.18698130186981302,5190.2,0.5161483851614839,2946.83,0.29687031296870314
13,2062.9,0.2084791520847915,4687.34,0.46285371462853714,3250.76,0.32866713328667135
14,2246.59,0.22567743225677434,4224.69,0.41845815418458154,3529.72,0.3558644135586441
15,2415.2,0.24317568243175683,3800.11,0.3762623737626237,3785.69,0.3805619438056194
16,2567.28,0.2588741125887411,3412.02,0.3360663933606639,4021.7,0.40505949405059494
17,2706.83,0.270972902709729,3061.2,0.3020697930206979,4232.97,0.42695730426957307
18,2833.47,0.2843715628437156,2746.16,0.26977302269773024,4421.37,0.44585541445855414
19,2951.13,0.2957704229577042,2455.85,0.24077592240775922,4594.02,0.4634536546345365
20,3054.02,0.30516948305169483,2201.94,0.21587841215878412,4745.04,0.47895210478952105
21,3147.65,0.3133686631336866,1970.86,0.19438056194380562,4882.49,0.49225077492250774
22,3231.43,0.3224677532246775,1764.46,0.17268273172682733,5005.11,0.5048495150484952
23,3307.37,0.32926707329267074,1579.25,0.1546845315468453,5114.38,0.516048395160484
24,3377.76,0.33666633336666335,1410.89,0.13838616138386162,5212.35,0.5249475052494751
25,3437.94,0.3434656534346565,1263.46,0.12268773122687732,5299.6,0.5338466153384661
26,3493.45,0.34836516348365165,1131.25,0.10988901109889011,5376.3,0.5417458254174583
27,3542.94,0.35306469353064696,1014.32,0.0988901109889011,5443.74,0.5480451954804519
28,3587.02,0.35776422357764226,910.89,0.08749125087491251,5503.09,0.5547445255474452
29,3627.62,0.36136386361363865,817.89,0.0791920807919208,5555.49,0.5594440555944405
