step,INFO-RACE-011-010-uninformed_num,INFO-RACE-011-010-uninformed_coverage,INFO-RACE-011-010-disinformed_num,INFO-RACE-011-010-disinformed_coverage,INFO-RACE-011-010-informed_num,INFO-RACE-011-010-informed_coverage
1,9960.71,0.9957004299570043,20.8,0.0026997300269973002,19.49,0.0015998400159984002
2,9877.66,0.985001499850015,60.83,0.0086991300869913,62.51,0.006299370062993701
3,9727.31,0.9659034096590341,131.51,0.018598140185981403,142.18,0.015498450154984501
4,9487.36,0.9371062893710629,242.03,0.033096690330966905,271.61,0.029797020297970205
5,9152.21,0.8984101589841016,395.07,0.050594940505949405,453.72,0.050994900509949
6,8730.35,0.8565143485651435,586.38,0.06979302069793021,684.27,0.0736926307369263
7,8237.41,0.8071192880711929,811.09,0.0938906109389061,952.5,0.098990100989901
8,7700.36,0.7507249275072493,1053.85,0.1202879712028797,1246.79,0.128987101289871
9,7144.52,0.6954304569543046,1306.0,0.145985401459854,1550.48,0.15858414158584141
10,6586.89,0.637036296370363,1558.39,0.17248275172482752,1855.72,0.19048095190480951
11,6037.77,0.5822417758224178,1808.43,0.19618038196180382,2154.8,0.22157784221577842
12,5509.96,0.5298470152984701,2048.74,0.21887811218878112,2442.3,0.2512748725127487
13,5012.9,0.47895210478952105,2274.89,0.2420757924207579,2713.21,0.278972102789721
14,4547.52,0.4316568343165683,2487.24,0.26307369263073693,2966.24,0.30526947305269475
15,4117.66,0.39276072392760725,2682.46,0.28077192280771923,3200.88,0.3264673532646735
16,3722.25,0.35306469353064696,2862.12,0.2976702329767023,3416.63,0.34926507349265073
17,3361.63,0.31786821317868214,3027.28,0.31356864313568644,3612.09,0.3685631436856314
18,3037.89,0.2896710328967103,3176.14,0.32486751324867513,3786.97,0.38546145385461456
19,2739.25,0.261973802619738,3312.59,0.33736626337366266,3949.16,0.4006599340065993
20,2466.17,0.23397660233976603,3437.11,0.34966503349665035,4097.72,0.4163583641635836
21,2223.55,0.21187881211878812,3548.85,0.35976402359764026,4228.6,0.4283571642835716
22,2003.24,0.1912808719128087,3650.11,0.3698630136986301,4347.65,0.43885611438856115
23,1805.09,0.17168283171682833,3740.83,0.3788621137886211,4455.08,0.44945505449455053
24,1628.12,0.15448455154484553,3822.16,0.38636136386361364,4550.72,0.45915408459154083
25,1466.34,0.1396860313968603,3897.98,0.39246075392460755,4636.68,0.46785321467853214
26,1320.24,0.1264873512648735,3965.61,0.39806019398060194,4715.15,0.4754524547545245
27,1190.59,0.11328867113288671,4026.14,0.40435956404359563,4784.27,0.48235176482351766
28,1074.09,0.10258974102589741,4080.61,0.40955904409559046,4846.3,0.48785121487851213
29,970.84,0.0933906609339066,4128.54,0.414958504149585,4901.62,0.49165083491650835
30,876.31,0.0821917808219178,4173.03,0.42015798420157985,4951.66,0.49765023497650235
31,790.23,0.072992700729927,4214.29,0.42455754424557546,4996.48,0.5024497550244975
32,712.55,0.06629337066293371,4250.11,0.42725727427257276,5038.34,0.5064493550644935
33,643.59,0.0598940105989401,4282.91,0.42985701429857015,5074.5,0.5102489751024898
34,581.73,0.053594640535946404,4312.35,0.43325667433256676,5106.92,0.5131486851314868
